#SampleID;alias;Compartment;Mesocosm;Sample_type;Water_type;Time;Sampling_date;NA_concentration
75-Mesocosm-2-1-Exp1-D42-Sed;75-Mesocosm-2-1-Exp1-D42-Sed;Sediments;Mesocosm_2;Carex;OSPW;D42;01-09-2021;40.6
76-Mesocosm-2-2-Exp1-D42-Racine;76-Mesocosm-2-2-Exp1-D42-Racine;Roots;Mesocosm_2;Carex;OSPW;D42;01-09-2021;40.6
76-Mesocosm-2-2-Exp1-D42-Rhizo;76-Mesocosm-2-2-Exp1-D42-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D42;01-09-2021;40.6
76-Mesocosm-2-2-Exp1-D42-Sed;76-Mesocosm-2-2-Exp1-D42-Sed;Sediments;Mesocosm_2;Carex;OSPW;D42;01-09-2021;40.6
27-Mesocosm-2-1-Exp1-D8-Racine;27-Mesocosm-2-1-Exp1-D8-Racine;Roots;Mesocosm_2;Carex;OSPW;D8;29-07-2021;74.8
27-Mesocosm-2-1-Exp1-D8-Rhizo;27-Mesocosm-2-1-Exp1-D8-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D8;29-07-2021;74.8
27-Mesocosm-2-1-Exp1-D8-Sed;27-Mesocosm-2-1-Exp1-D8-Sed;Sediments;Mesocosm_2;Carex;OSPW;D8;29-07-2021;74.8
28-Mesocosm-2-2-Exp1-D8-Racine;28-Mesocosm-2-2-Exp1-D8-Racine;Roots;Mesocosm_2;Carex;OSPW;D8;29-07-2021;74.8
28-Mesocosm-2-2-Exp1-D8-Rhizo;28-Mesocosm-2-2-Exp1-D8-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D8;29-07-2021;74.8
28-Mesocosm-2-2-Exp1-D8-Sed;28-Mesocosm-2-2-Exp1-D8-Sed;Sediments;Mesocosm_2;Carex;OSPW;D8;29-07-2021;74.8
100-Mesocosm-2-2-Exp1-TEST-Racine;100-Mesocosm-2-2-Exp1-TEST-Racine;Roots;Mesocosm_2;Carex;OSPW;D84;13-10-2021;21.6
100-Mesocosm-2-2-Exp1-TEST-Rhizo;100-Mesocosm-2-2-Exp1-TEST-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D84;13-10-2021;21.6
100-Mesocosm-2-2-Exp1-TEST-Sed;100-Mesocosm-2-2-Exp1-TEST-Sed;Sediments;Mesocosm_2;Carex;OSPW;D84;13-10-2021;21.6
